Date,Close,High,Low,Open,Volume
2021-09-15,170.07626342773438,171.02113488517887,169.5251019280091,170.9424028755063,21028598
2021-09-16,181.69029235839844,183.97373302871077,170.31250492577715,170.82431295965313,154986538
2021-09-17,182.00526428222656,186.84770786057976,180.39110810454815,183.46193146136088,82563658
2021-09-20,184.0524444580078,188.46183631236283,181.2965745490359,181.88712701334362,73101936
2021-09-21,190.1547393798828,190.90275592435293,182.43831549865877,184.99733063051883,58854434
2021-09-22,191.7295379638672,193.5405367496249,189.52484161992882,191.7295379638672,54648494
2021-09-23,190.94212341308594,193.38304053896022,190.3122173659831,192.9105985262928,22630330
2021-09-24,187.75318908691406,192.1232025345025,187.16263661237014,192.1232025345025,25779310
2021-09-27,187.95005798339844,190.4303412927185,185.4304086626946,188.81618509788893,23772123
2021-09-28,187.20204162597656,190.23348653066995,186.06031499827827,188.85555135701787,16319138
2021-09-29,187.4775848388672,190.07596557839025,185.58784204890654,185.8240630169862,16045073
2021-09-30,185.94219970703125,189.2885973473177,185.23354918025598,188.89491231481816,16987893
2021-10-01,185.312255859375,186.61144623461044,183.3831470590525,185.19414537483752,16570661
2021-10-04,186.29652404785156,187.67445913294048,185.35165249274198,185.82409450896697,11098123
2021-10-05,184.8004608154297,186.9657907359382,184.64298431750277,186.1390297638174,9578825
2021-10-06,182.083984375,186.13904508167212,181.57217635661507,184.8792205172433,18179336
2021-10-07,183.4225616455078,184.99733930221277,182.91075360420888,183.46192765565672,10770973
2021-10-08,182.43832397460938,184.87922871762098,182.0446264412615,184.8398627074884,10114327
2021-10-11,187.438232421875,188.57994646411387,182.43831273611644,182.67452125970172,22000303
2021-10-12,189.99725341796875,191.33582249501308,187.39887223642205,187.87130177561045,30347455
2021-10-13,196.21763610839844,197.5561926521574,189.09175244542632,190.98149547787875,52091422
2021-10-14,202.0049591064453,206.17813037151106,197.12313729423073,199.40657792601294,88696178
2021-10-18,206.7292938232422,208.89461136276043,202.63486726293698,205.50883531332843,62614961
2021-10-19,193.6586151123047,206.7292895233663,192.94996461617106,205.82378404215478,61336411
2021-10-20,194.17041015625,195.66645563441728,190.82400019137077,193.65861464642552,49663940
2021-10-21,192.6743927001953,195.5483609157645,191.4145681109761,195.27277389695593,23385990
2021-10-22,186.29652404785156,193.54051850812448,184.01309589389874,192.67439144816584,36905793
2021-10-25,183.77685546875,186.3358703693466,181.4934275560539,184.328029444551,23194065
2021-10-26,186.37525939941406,188.18625792563452,183.14695984873234,184.32803987667015,19663381
2021-10-27,187.75318908691406,189.99723858082325,185.98155661796116,189.17049007114062,26909428
2021-10-28,177.24156188964844,185.78474782867238,176.49353277858248,185.11546322094978,48064941
2021-10-29,175.74551391601562,179.72183054423863,175.03686330427942,177.162815139488,27668175
2021-11-01,178.6194305419922,179.17060446643566,175.19428899209737,176.49347932371217,24090945
2021-11-02,177.63523864746094,180.50921948597573,176.76911153799327,179.52498186570045,14896284
2021-11-03,175.1549530029297,178.61946114752834,174.56440049888215,177.95018910517453,18530527
2021-11-04,178.3832550048828,178.97379503947474,176.375401418994,177.04468594762358,7295341
2021-11-08,180.94227600097656,181.65092656091036,177.71397623298014,180.86353150438808,21051238
2021-11-09,180.11550903320312,181.8083971196507,179.4068584964888,180.98163608059394,11964518
2021-11-10,181.76904296875,183.34382065558341,178.89506214873856,179.09191715793088,13948380
2021-11-11,181.09974670410156,182.28083925097576,179.95803264292795,181.41469972566526,8448263
2021-11-12,183.38319396972656,184.20995509564162,180.43048101031914,182.04463724967945,12312123
2021-11-15,187.4775848388672,188.18623526576786,183.54062277267224,184.20990719733905,40247848
2021-11-16,185.39102172851562,188.6980532903774,185.036690234027,188.22562377506563,15241184
2021-11-17,188.5799560546875,193.10745892352983,185.54851128289675,185.82409830554505,48496295
2021-11-18,187.0051727294922,191.33582046342798,186.06030118380758,188.9736478378866,21005037
2021-11-22,181.80841064453125,189.5642011170145,180.74544099905467,187.32013883759143,23443628
2021-11-23,182.35955810546875,183.22568509092432,180.43044915228364,180.43044915228364,13950744
2021-11-24,179.2887420654297,183.22569213417566,178.69820205058576,183.02884962167428,14684422
2021-11-25,182.12335205078125,182.8320025949266,177.75333828232814,178.73757584238228,24825493
2021-11-26,176.37539672851562,181.13910784159535,175.6667462103829,180.23361480961353,28067913
2021-11-29,174.4069366455078,176.09982483282278,173.3833330264511,174.80063418432684,22985358
2021-11-30,174.13133239746094,177.3202659260209,173.2258393773218,174.80061689953843,24408641
2021-12-01,174.72190856933594,175.82424425017024,173.6982924354063,174.800640593582,13496307
2021-12-02,177.5171356201172,178.06829719281234,174.24945732994973,174.72189935988953,16517389
2021-12-03,174.52503967285156,178.10767090197103,174.28883114155934,177.162799344781,14325920
2021-12-06,171.5723114013672,174.9580873235326,171.2573584033377,174.5250238319072,13644352
2021-12-07,173.73765563964844,174.76125920618134,171.729802037902,172.35972056315785,9246755
2021-12-08,177.12342834472656,177.6746023644445,174.0132392205126,174.0132392205126,10241656
2021-12-09,185.35165405273438,186.17841511074607,175.58802282556195,175.58802282556195,39714672
2021-12-10,185.90281677246094,188.1468787997626,184.052452245576,185.9815612634802,36517117
2021-12-13,184.72174072265625,187.98940633947024,184.3674092214562,187.3988663148101,22903720
