Date,Close,High,Low,Open,Volume
2021-09-15,3435.311767578125,3457.4201024494814,3358.388471374295,3372.3746023512094,2461369
2021-09-16,3390.791259765625,3458.940621955318,3381.0618779429806,3413.9854697769574,2946666
2021-09-17,3325.247802734375,3427.0157522153695,3305.3979561925175,3405.2982886398604,6477148
2021-09-20,3321.46826171875,3362.7314348406644,3307.873216881882,3308.872135186797,2002008
2021-09-21,3355.73876953125,3363.2096613345666,3319.8614796911293,3351.438754448293,1568129
2021-09-22,3355.043701171875,3385.1877076595533,3346.6173684546684,3355.3478304693117,1744067
2021-09-23,3361.211181640625,3369.680990782189,3331.458262348465,3361.8627054207454,2003869
2021-09-24,3362.992919921875,3426.494660091767,3348.8330903783194,3379.2375412637257,2320754
2021-09-27,3333.153076171875,3391.3993601612406,3303.5738462002655,3387.9245657348456,1673362
2021-09-28,3282.94189453125,3344.489268897925,3258.7052908969717,3344.489268897925,2253075
2021-09-29,3294.017822265625,3306.2665561909757,3233.4261006959136,3266.13272711656,2489161
2021-09-30,3279.81494140625,3305.3980719774313,3257.706605128869,3305.3980719774313,2252412
2021-10-01,3240.418701171875,3309.740875307835,3235.9015119479486,3285.2001457205783,1578374
2021-10-04,3277.8603515625,3286.851254497421,3220.6564659820315,3235.7284709822225,1356860
2021-10-05,3329.981689453125,3335.801926439112,3250.3220869079396,3261.093862461569,1877966
2021-10-06,3310.52294921875,3350.9609058383885,3296.7107282346856,3332.327365878328,1678154
2021-10-07,3381.756103515625,3387.055248882462,3318.4715488271363,3327.115055968153,1647233
2021-10-08,3418.89306640625,3466.019958648897,3387.9240506234883,3409.6415124864593,2934339
2021-10-11,3201.67578125,3264.1351284142825,3179.43701130972,3261.9633818218576,11845402
2021-10-12,3173.22509765625,3220.2650321071796,3153.89655787627,3219.396333690102,5752877
2021-10-13,3175.2666015625,3192.857745560252,3166.4059195953646,3170.7494119404887,3545655
2021-10-14,3143.28125,3194.2411894028182,3140.4525622982123,3155.0747443011487,6442299
2021-10-18,3174.353271484375,3179.183842238578,3134.577612848602,3136.3183437516254,3590107
2021-10-19,3163.03857421875,3211.7356920493535,3155.2488457940203,3193.370895714602,3135441
2021-10-20,3141.018310546875,3159.426454063598,3114.4286046403977,3143.7598766054316,2933693
2021-10-21,3074.5654296875,3139.7992665819975,3056.070167017759,3136.883670314862,4871211
2021-10-22,3045.278076171875,3099.8935052260636,3033.223430340186,3098.5008355842356,2691670
2021-10-25,3040.142333984375,3058.942308854021,3002.7601880545794,3048.889547465273,2595594
2021-10-26,3031.134033203125,3071.518894854652,3024.51917246243,3041.491294437399,3878763
2021-10-27,3037.357666015625,3056.0705221856474,3031.4826995436415,3031.4826995436415,2510813
2021-10-28,2978.085693359375,3061.9454848556675,2972.297848431525,3061.9454848556675,2424942
2021-10-29,2957.28369140625,3012.3342965071097,2947.0133383911043,2959.2855740900413,3960501
2021-11-01,3025.737548828125,3034.9635051049436,2970.512918427399,2992.2720488052664,2020718
2021-11-02,3032.52685546875,3058.115723793771,3019.950118885597,3041.056478243757,3087414
2021-11-03,3039.532958984375,3063.5984724746827,3016.7294325728367,3049.9337809315916,1537639
2021-11-04,3053.806884765625,3057.81064982747,3050.6301366669845,3057.549497759696,328991
2021-11-08,3048.672119140625,3088.056149799711,3029.9157040300906,3088.056149799711,2526082
2021-11-09,3051.2392578125,3076.741000826848,3042.79675781914,3053.2411402830503,1782692
2021-11-10,3032.61376953125,3063.4246152630417,3029.045186907905,3044.5377312978912,1516489
2021-11-11,3036.008544921875,3055.0261139031104,2990.5755135530526,3028.871591142207,1284514
2021-11-12,3068.95166015625,3076.0014917098492,3033.832334714238,3051.500793099573,1747259
2021-11-15,3092.668701171875,3106.8556964004206,3070.6484191597583,3070.6484191597583,1809157
2021-11-16,3095.367431640625,3112.03505658905,3082.834254844541,3106.334120705863,2013204
2021-11-17,3065.3388671875,3100.9804892639227,3051.848207668816,3090.318516418511,1632914
2021-11-18,3025.12841796875,3064.425535995087,3004.152743208787,3059.4642841407654,2136598
2021-11-22,3010.0712890625,3060.16085491759,2994.317804519924,3027.4785951812783,3167936
2021-11-23,3015.162841796875,3029.6978990916023,2966.030765533705,2998.4083105983213,2153461
2021-11-24,2996.92919921875,3040.229877506103,2980.131104641125,3022.0826740714665,2161746
