Date,Close,High,Low,Open,Volume
2021-09-15,723.7457885742188,727.4889784667846,718.2245606360663,718.2245606360663,14822998
2021-09-16,729.8985595703125,731.9339646234694,718.8328009274061,719.5112312007644,10260550
2021-09-17,740.2860717773438,743.4911670211796,729.5477604255152,734.1331913506801,20498102
2021-09-20,729.8517456054688,740.0753203546,728.9861444695539,731.7935365535188,8781610
2021-09-21,726.1553955078125,733.9693384001288,715.3937249500291,730.857800489461,14774996
2021-09-22,717.6162109375,725.3131787966195,715.8850085999203,724.7750838701154,10582202
2021-09-23,734.6010131835938,735.5368106526174,721.4998486172622,721.4998486172622,13664304
2021-09-24,749.3632202148438,752.3577263390091,736.940486313232,738.812081199107,20806702
2021-09-27,760.3822631835938,765.2484217091811,752.3812058137348,755.9840034178407,16415462
2021-09-28,755.6798095703125,763.6106695972712,740.2157348669626,763.6106695972712,12773790
2021-09-29,745.7603759765625,751.7260847567792,741.6896798907969,747.2342683926307,16263036
2021-09-30,746.2750244140625,751.6090811295566,740.7304361257566,742.0873538076034,15975348
2021-10-01,740.5433349609375,743.4911199571662,732.3785245518908,740.6837274337282,11128596
2021-10-04,741.970458984375,749.2696682201581,740.9644652266392,743.4911299550193,7051028
2021-10-05,746.5089721679688,747.4681873677021,737.5253398049078,744.8947444690965,10257178
2021-10-06,755.609619140625,761.2009857374555,742.5552340376382,746.7663223214056,18600830
2021-10-07,753.5509033203125,761.5987386153337,751.9132577682348,761.084061436561,11265724
2021-10-08,749.8778686523438,758.9316971425425,748.7081218934927,754.2527101071383,7245562
2021-10-11,764.4530029296875,769.6934460990624,748.1701035333743,748.5912238329689,13080848
2021-10-12,762.48779296875,768.0792173113862,760.3354701381298,760.3354701381298,8176946
2021-10-13,767.0732421875,771.0971601191812,762.6749823994329,765.9502737348906,6225644
2021-10-14,789.5323486328125,790.7488739386398,766.4181393559124,766.4181393559124,14757288
2021-10-18,781.53125,807.125286978139,780.0105791694615,797.7673126363635,28856456
2021-10-19,790.1404418945312,791.8950618641999,781.8586584843099,783.940784668369,8987540
2021-10-20,783.1922607421875,794.8429502889365,778.7940013526002,790.327716219395,10908568
2021-10-21,784.338623046875,786.982205040292,777.1095537754028,782.233078871667,9738190
2021-10-22,786.4207763671875,799.1710165314034,781.7417891509615,786.1166307748242,12175554
2021-10-25,775.3081665039062,790.7488240142435,755.0949649733542,790.7488240142435,16426766
2021-10-26,773.319580078125,783.1922312714548,770.3250169606707,772.0328586470465,12090656
2021-10-27,768.6641235351562,779.0748711857041,766.090680295695,773.3196934581074,13249642
2021-10-28,745.6433715820312,772.0328702050767,742.6254477542099,772.0328702050767,17797750
2021-10-29,740.613525390625,749.5737978809885,729.9220503710001,743.9590128781347,12406874
2021-11-01,751.1178588867188,753.7848588180418,740.9410614445757,741.6194917607675,8122320
2021-11-02,751.7962646484375,758.9317200932103,748.6613660865314,751.44534061017,13237722
2021-11-03,739.9583740234375,753.2701262679756,737.1978173950451,751.0241896681732,10207338
2021-11-04,745.8072509765625,747.6320676747624,744.0058520644047,746.2985675510379,1096808
2021-11-08,748.7549438476562,750.8370703527786,734.8115388253409,744.9415577689133,18943580
2021-11-09,735.65380859375,746.1113342173927,734.1565554425947,746.1113342173927,12695476
2021-11-10,727.699462890625,734.1330701015211,725.2429946828283,733.6651713952741,13714126
2021-11-11,724.4476318359375,727.5357520533504,718.5052836512886,725.2664546194623,7999404
2021-11-12,726.646728515625,729.4775386819591,722.9269564545162,725.2430323240301,14914092
2021-11-15,728.6353149414062,735.4666251415645,727.3018149519153,730.904612413564,9533594
2021-11-16,724.3072509765625,728.6118965466009,721.3126876112315,727.582542163149,8245406
2021-11-17,716.2593994140625,722.4356398093381,715.1832094874179,719.1135702464771,7598878
2021-11-18,720.2833251953125,722.2016985884679,713.6625466615229,714.0368884967193,9152874
2021-11-22,709.0302734375,726.5062782081744,701.403559006971,723.3713798098189,15261272
2021-11-23,709.1239013671875,714.8556604723817,700.1402120099383,702.7838511021728,11235214
2021-11-24,710.293701171875,718.8562137965511,708.422106222235,713.0776758128465,30802286
2021-11-25,713.989990234375,717.4290913331872,705.123332817624,708.7729654824068,10251652
2021-11-26,697.122314453125,704.9829786803473,694.8295993014816,701.8480801025066,18624936
2021-11-29,702.4329833984375,705.4275467576333,684.0679578541319,699.4150593721698,12990996
2021-11-30,698.8302001953125,715.4171880192514,695.554908948658,699.5086305355009,25221542
2021-12-01,704.0238647460938,705.1468331680238,696.7480163459117,699.5086303908303,8677634
2021-12-02,713.8965454101562,715.3236594994439,701.8481521318921,703.9536965882878,11203110
2021-12-03,708.1881103515625,718.6689956881011,705.146768758102,713.9198695084689,8124694
2021-12-06,703.6260986328125,710.6445792398034,700.6081177018816,707.9307438918171,7029532
2021-12-07,713.873046875,716.8208316271332,706.4802814453766,708.3752369718545,12427534
2021-12-08,727.0210571289062,727.6059305314374,717.7566395861959,718.6924370302457,15295534
2021-12-09,714.4110717773438,727.4420382936756,712.1417746546098,722.9970009354504,11747744
2021-12-10,712.3992309570312,714.9492561772763,705.8018132009037,713.4987815442046,7779384
2021-12-13,707.065185546875,719.464502037147,705.2169512717943,714.0134703454731,10322142
2021-12-14,702.994384765625,709.3344350495244,700.4677774580217,703.0178025474343,9191100
2021-12-15,701.8480834960938,712.7735072392076,699.8127354772637,703.2517796630859,10115148
2021-12-16,701.8948364257812,709.8023359689812,699.0406657466433,707.8371842532578,13210432
